Institution,Location,Subject,Tier,Date
University of Rochester,"Rochester, NY",Electrical and Computer Engineering,Bachelor of Science,Sept 2013 - May 2017
University of Rochester,"Rochester, NY",Mathematics,Minor,2017
University of Rochester,"Rochester, NY",Music,Minor,2017
University of Rochester,"Rochester, NY",Computer Science,Minor,2017
Stanford,Online,Supervised Machine Learning: Regression and Classification,Certificate,2023
Stanford,Online,Advanced Learning Algorithms,Certificate,2023
Stanford,Online,"Unsupervised Learning, Recommenders, Reinforcement Learning",Certificate,2023
Stanford,Online,Machine Learning,Specialization,2023
Educative,Online,A Guide to Git & Version Control,Certificate,2022
Harvard Business School Online,Online,Entrepreneurship Essentials,Certificate,2020
ColumbiaX,Online,Robotics,Certificate,2018
MITx,Online,Becoming an Entrepreneur,Certificate,2017
