Company,New Name,Location,Station,Tenure,Phone Number,Technical Skills,Soft Skills,Description
M Science,,"New York, NY",Senior Software Engineer ,June 2024,,"Typescript, Python, Git, VSCode, Docker, AWS, LangChain, SQL Alchemy, Pandas, FastAPI, Next.js, drizzle, Zod",,Develop AI Agents to automate financial analysis report generation. Leverage Python using the LangChain and LangGraph framework for implementation. Design systems to support multiple app interfaces. Spearhead lightweight committee to progress toolchain and coding standards adoption. Rapid onboarding of Typescript and Next.js to assist in quick pivots and tight deadlines. Develop lightweight tool for Python to profile memory usage for a crashing service. Refactor repo's devcontainer and project manager to increase build speed and reduce complexity. Refactor GitHub workflows to reduce CI/CD end-to-end times. Create automated evaluation set generation for AI agents based on source data and Jinja2 templates for API payload generation. Create an AI agent capable of guiding a user towards generating a valid and contextual API payload for any schema using LangGraph and JSON Schema.
ASML,,"Wilton, CT",Senior Software Engineer,Jun 2023 - Feb 2024,(203) 761-4000,"C++, Red Hat, git, Atlassian Suite, VS Code, Clearcase, Windows Enterprise Suite",,"Responsible for implementing and maintaining calibration, performance, and diagnostics tooling for the Twinscan line of lithography machines. These machines are responsible for creating virtually all the computer chips on the planet, from CPUs to ancillary integrated circuits."
Insight Glocal,,"Stamford, CT",Senior Software Engineer,Jun 2023 - Feb 2024,(855) 485-8732,,,Agency through which I worked at ASML.
IsoPlexis,Bruker,"Branford, CT",Software Engineer,Nov 2020 - Jan 2023,(203) 208-4111,"C++, Qt, Windows, Visual Studio, git, Atlassian Suite",,"User interface development for the IsoSpeak platform. Interfacing with data-processing routines using C++ with the Qt framework and system calls. Implementing designs, functionality, refactors, and bug-fixes for all aspects of the user interface in a complete overhaul. Mentoring of new employees. Presentations of advanced and modern C++ concepts and libraries. Agile-like software development."
Port25,Sparkpost,"Columbia, MD",Software Engineer,May 2019 - Jan 2020,(410) 872-4910,"C++, macOS, Emacs, git, Atlassian Suite",,"Feature expansion of PowerMTA email program. Development of command-line tools, increasing flexibility of sending organization, and adding interactions between existing features. Constant contact with customers to ensure product development was headed in a satisfactory direction. Agile-like software development."
"Robotic Research, LLC",Forterra,"Clarksburg, MD",Software Engineer,Feb 2018 - May 2019,(240) 631-0008,"C++, Ubuntu, Emacs, git, Atlassian Suite",,Autonomous vehicle programming and testing. Design and development of a module for converting sensor data to a representation suitable for path planning. Design and implementation of communications between the vehicle and a UI using the JAUS standard. Testing of software using synthetic environments. On-site testing at military bases with partner companies for stress testing and live demonstration.
LSA Autonomy,MACH,"Westminter, MD",Software Engineer,Jun 2017 - Feb 2018,(443) 261-5722,"C++, macOS, Emacs, svn",,"Designed and implemented color detection, bounding, and indication for live video to the web to allow truck drivers to detect when a shipment had been successfully loaded or offloaded. Designed and implemented a custom derivative of Huffman encoding for live data streams for the Velodyne VLP-16 LiDAR sensor."
LSA Autonomy,,"Westminter, MD",Software Engineer Intern,Jan 2017,,Octave,,"Classification of LEDar devivce used repurposed for near-field object detection. Experiment design, execution, and analysis."
Connect Prep,,"Westport, CT",Software Engineer Intern,Jan 2016 - Jun 2017,,"HTML, CSS, Javascript, Meteor, MongoDB",,Front end web development used to power a tutoring platform. Design and implementation of different practice tests and evaluation systems.
University of Rochester,,"Rochester, NY",Research Assistant,Aug 2015 - Aug 2016,,"Logic Pro, Android Studio",,Data acquisition for modal analysis of frequencies in the 2-D plane. Development of Android app to record speech data used to detect emotional variance in patients throughout their day.
